row_id,predicted_model,true_model,primary_query
0,UNKNOWN,UNKNOWN,
1,UNKNOWN,UNKNOWN,AMAZON FIRE T
2,UNKNOWN,UNKNOWN,
3,UNKNOWN,UNKNOWN,
4,BOSE TVSPKR,UNKNOWN,TV IN WOONKAME
5,UNKNOWN,UNKNOWN,
6,UNKNOWN,UNKNOWN,CHROMECAST
7,SONY HTS40R,UNKNOWN,SKY Q
8,UNKNOWN,UNKNOWN,
9,UNKNOWN,UNKNOWN,BLU-RAY PLAYER
10,UNKNOWN,UNKNOWN,AMAZON FIRETV
11,UNKNOWN,UNKNOWN,FIRE TV CUBE
12,UNKNOWN,UNKNOWN,
13,UNKNOWN,UNKNOWN,XBOX
14,UNKNOWN,UNKNOWN,POLSAT BOX 4KL
15,UNKNOWN,UNKNOWN,ACTON III
16,UNKNOWN,UNKNOWN,
17,UNKNOWN,UNKNOWN,
18,UNKNOWN,UNKNOWN,
19,UNKNOWN,UNKNOWN,
20,UNKNOWN,UNKNOWN,
21,UNKNOWN,UNKNOWN,AUDIO SYSTEM
22,UNKNOWN,UNKNOWN,MAGENTATV ONE
23,UNKNOWN,UNKNOWN,
24,LG S90TY,LG S90TY,LG S90TY
25,LG SQC2,LG SQC2,LG SQC2
26,UNKNOWN,UNKNOWN,ORANGE DEKODER
27,UNKNOWN,UNKNOWN,PS4 CONSOLA DE JUEGOS
28,UNKNOWN,UNKNOWN,
29,UNKNOWN,UNKNOWN,
30,UNKNOWN,UNKNOWN,
31,UNKNOWN,UNKNOWN,
32,UNKNOWN,UNKNOWN,
33,UNKNOWN,UNKNOWN,SKY Q SET-TOP BOX
34,UNKNOWN,UNKNOWN,AMAZON FIRE T
35,UNKNOWN,UNKNOWN,AMAZON FIRE T
36,UNKNOWN,UNKNOWN,DIGITURK SET ST KUTU
37,UNKNOWN,UNKNOWN,APPLE TV
38,UNKNOWN,UNKNOWN,STR-DH190
39,UNKNOWN,UNKNOWN,
40,JBL BAR5.1,UNKNOWN,PLAYSTATION 5
41,UNKNOWN,UNKNOWN,AIWA KBTUS-710
42,UNKNOWN,UNKNOWN,DVD
43,UNKNOWN,UNKNOWN,APPLE TV
44,UNKNOWN,UNKNOWN,JBL TOUR ONE
45,UNKNOWN,UNKNOWN,ANKER A7908
46,UNKNOWN,UNKNOWN,JBL LIVE FLEX 3
47,UNKNOWN,UNKNOWN,TELECOM
48,LG S70TY,LG S70TY,LG S70TY
49,UNKNOWN,UNKNOWN,TELIA TV
50,UNKNOWN,UNKNOWN,FIRE TV STICK
51,UNKNOWN,UNKNOWN,
52,UNKNOWN,UNKNOWN,MAGENTATV
53,UNKNOWN,UNKNOWN,SKY Q SET-TOP BOX
54,UNKNOWN,UNKNOWN,
55,UNKNOWN,UNKNOWN,PORTUGAL TELECOM BOX
56,LG S90TY,LG S90TY,LG S90TY
57,UNKNOWN,UNKNOWN,
58,UNKNOWN,UNKNOWN,AUDIOPRO A38
59,UNKNOWN,UNKNOWN,FIRE TV STICK
60,UNKNOWN,UNKNOWN,
61,UNKNOWN,UNKNOWN,
62,UNKNOWN,UNKNOWN,
63,UNKNOWN,UNKNOWN,KPN DECODER
64,UNKNOWN,UNKNOWN,UMA
65,LG S70TR,LG S70TR,LG DS70TR
66,UNKNOWN,UNKNOWN,
67,UNKNOWN,UNKNOWN,
68,UNKNOWN,UNKNOWN,VODAFONE TV
69,UNKNOWN,UNKNOWN,
70,UNKNOWN,UNKNOWN,
71,UNKNOWN,UNKNOWN,
72,UNKNOWN,UNKNOWN,VODAFONE SET-TOP BOX
73,UNKNOWN,UNKNOWN,DECODIFICADOR
74,LG LGSOUNDBAR,LG LGSOUNDBAR,LG SOUND BAR
75,UNKNOWN,UNKNOWN,AV RECEIVER
76,UNKNOWN,UNKNOWN,MAGYAR TELEKOM SET-TOP BOX
77,UNKNOWN,UNKNOWN,
78,UNKNOWN,UNKNOWN,BD PLAYER
79,UNKNOWN,UNKNOWN,SKY Q
80,UNKNOWN,UNKNOWN,PLAYSTATION 5
81,UNKNOWN,UNKNOWN,DECODEUR TV 6
82,UNKNOWN,UNKNOWN,
83,UNKNOWN,UNKNOWN,H10
84,UNKNOWN,UNKNOWN,LG CHANNELS
85,UNKNOWN,LG S80TR,LG SPEAKER DS80TR 9001
86,UNKNOWN,UNKNOWN,
87,UNKNOWN,UNKNOWN,
88,LG S40T,LG S40T,LG S40T
89,SONY SONYSOUNDBAR,UNKNOWN,APPLE TV
90,UNKNOWN,UNKNOWN,VSX-830 AFCE55
91,UNKNOWN,UNKNOWN,PLAYSTATION 5
92,UNKNOWN,JBL CINEMASB110,CINEBAR 11
93,UNKNOWN,UNKNOWN,FIRE TV STICK
94,UNKNOWN,UNKNOWN,BD PLAYER
95,UNKNOWN,UNKNOWN,HD+
96,UNKNOWN,UNKNOWN,DOQAUS LIFE 4
97,UNKNOWN,UNKNOWN,
98,UNKNOWN,UNKNOWN,SOUND SYSTEM
99,UNKNOWN,UNKNOWN,DEKODER VECTRA
100,UNKNOWN,UNKNOWN,
101,SONOS ARC,UNKNOWN,SKY Q
102,UNKNOWN,UNKNOWN,AMAZON FIRE TV
103,SONY HTS400,SONY HTS400,HT-S400
104,UNKNOWN,UNKNOWN,UMA
105,UNKNOWN,UNKNOWN,
106,UNKNOWN,UNKNOWN,PLAYSTATION 5
107,UNKNOWN,UNKNOWN,
108,UNKNOWN,UNKNOWN,SKY
109,UNKNOWN,UNKNOWN,APPLE TV
110,LG S40T,UNKNOWN,AMAZON FIRE T
111,UNKNOWN,UNKNOWN,
112,UNKNOWN,UNKNOWN,MAGYAR TELEKOM BELT RI EGYS G
113,UNKNOWN,UNKNOWN,
114,UNKNOWN,JBL CINEMASB270,CINEMA 70S
115,UNKNOWN,UNKNOWN,PSB 400
116,UNKNOWN,UNKNOWN,CBS540A
117,UNKNOWN,UNKNOWN,H96 MAX RK3528
118,UNKNOWN,UNKNOWN,PS5 SPIELKONSOLE
119,UNKNOWN,UNKNOWN,PS5 GAME CONSOLE
120,UNKNOWN,UNKNOWN,NINTENDOSWITCH
121,UNKNOWN,UNKNOWN,VODAFONE TV
122,UNKNOWN,UNKNOWN,
123,UNKNOWN,UNKNOWN,PLAYSTATION 5
124,SONY HTS20R,SONY HTS20R,HT-S20R
125,UNKNOWN,UNKNOWN,HD+
126,UNKNOWN,UNKNOWN,
127,UNKNOWN,UNKNOWN,
128,UNKNOWN,UNKNOWN,LG CHANNELS
129,LG SJ3,LG SJ3,LG SJ3
130,PHILIPS TAB5305,PHILIPS TAB5305,PHILIPS TAB5305
131,UNKNOWN,UNKNOWN,PORTUGAL TELECOM BOX
