row_id,true_model
0,UNKNOWN
1,UNKNOWN
2,UNKNOWN
3,LG S40T
4,UNKNOWN
5,UNKNOWN
6,LG S60T
7,UNKNOWN
8,UNKNOWN
9,UNKNOWN
10,UNKNOWN
11,UNKNOWN
12,UNKNOWN
13,UNKNOWN
14,UNKNOWN
15,UNKNOWN
16,UNKNOWN
17,UNKNOWN
18,UNKNOWN
19,UNKNOWN
20,UNKNOWN
21,UNKNOWN
22,UNKNOWN
23,UNKNOWN
24,UNKNOWN
25,UNKNOWN
26,UNKNOWN
27,UNKNOWN
28,PANASONIC SCHTB100
29,UNKNOWN
30,UNKNOWN
31,LG S40TR
32,UNKNOWN
33,UNKNOWN
34,UNKNOWN
35,UNKNOWN
36,UNKNOWN
37,UNKNOWN
38,UNKNOWN
39,UNKNOWN
40,UNKNOWN
41,UNKNOWN
42,UNKNOWN
43,SONOS ARCULTRA
44,UNKNOWN
45,UNKNOWN
46,UNKNOWN
47,UNKNOWN
48,UNKNOWN
49,BOSE SMARTULTRA
50,UNKNOWN
51,UNKNOWN
52,UNKNOWN
53,UNKNOWN
54,UNKNOWN
55,UNKNOWN
56,UNKNOWN
57,BOSE LIFESTYLE135
58,UNKNOWN
59,UNKNOWN
60,UNKNOWN
61,UNKNOWN
62,UNKNOWN
63,HARMAN ENCHANT800
64,UNKNOWN
65,UNKNOWN
66,UNKNOWN
67,HISENSE HS2100
68,UNKNOWN
69,UNKNOWN
70,UNKNOWN
71,UNKNOWN
72,UNKNOWN
73,UNKNOWN
74,UNKNOWN
75,LG S70TY
76,UNKNOWN
77,UNKNOWN
78,UNKNOWN
79,UNKNOWN
80,UNKNOWN
81,HISENSE HS3100
82,UNKNOWN
83,UNKNOWN
84,DENON DHTS517
85,UNKNOWN
86,UNKNOWN
87,UNKNOWN
88,UNKNOWN
89,UNKNOWN
90,UNKNOWN
91,UNKNOWN
92,UNKNOWN
93,LG S20A
94,UNKNOWN
95,UNKNOWN
96,UNKNOWN
97,UNKNOWN
98,UNKNOWN
99,UNKNOWN
100,UNKNOWN
101,UNKNOWN
102,UNKNOWN
103,UNKNOWN
104,UNKNOWN
105,UNKNOWN
106,UNKNOWN
107,UNKNOWN
108,UNKNOWN
109,UNKNOWN
110,LG S77TY
111,UNKNOWN
112,UNKNOWN
113,UNKNOWN
114,UNKNOWN
115,UNKNOWN
116,UNKNOWN
117,JBL CINEMASB560
118,UNKNOWN
119,BOSE SMARTULTRA
120,HISENSE AX5125H
121,UNKNOWN
122,UNKNOWN
123,UNKNOWN
124,UNKNOWN
125,UNKNOWN
126,UNKNOWN
127,UNKNOWN
128,BOSE SOUNDBAR500
129,UNKNOWN
130,UNKNOWN
131,UNKNOWN
132,UNKNOWN
133,SAMSUNG HWQ800F
134,UNKNOWN
